SMILES,molecular_weight,sa_score,homo_lumo_gap_au,dipole_moment_debye
CC(C)(C)C1CCCO1,128.215,3.0936156935295305,0.3147,1.4346
CC1CCC2CCC12O,126.19899999999998,3.7938913798335054,0.3171,1.2587
CC1OCC(O)CO1,118.13199999999998,3.278211127517716,0.3303,1.9016
CC1CC2CCC2C1O,126.19899999999998,3.76328862861389,0.316,1.3528
COCCCC(O)CO,134.175,2.612727231991069,0.3152,2.9146
CC(CO)C1(C)CC1,114.188,3.52271909354197,0.3378,1.2793
OC1CCCOCOC1,132.159,3.2321961669023125,0.3259,1.1756
C1COC2(C1)CCOC2,128.171,3.884916200346326,0.3145,2.7107
CCCOC(=O)CC,116.15999999999998,1.872202835809425,0.2862,1.885
OCC1OC1C1CCO1,130.143,3.783229841371967,0.3207,2.8834
CCC1(O)C(C)C1C,114.18799999999996,3.665934521060363,0.3138,1.3573
CCCC(C)C1CN1C,127.231,3.744293011940528,0.3019,1.2961
CC1COC(CO)C1C,130.18699999999995,3.782370687525813,0.3166,2.8212
CC(C)C(C)(C)O,102.17699999999998,2.1426605096010025,0.3273,1.3142
CC#CC(C)OCCO,128.171,3.801673385837223,0.2884,2.3235
CC(O)C1CC1(C)O,116.16,3.8402529336920974,0.3204,1.4854
CCN=C1CC(CC)O1,127.18699999999998,3.9669041550679927,0.2776,2.3481
CCC1C(O)C1N1CC1,127.187,3.8843649182950433,0.3031,2.7053
COCC1COC1CO,132.15900000000002,3.6426211291450894,0.315,2.6159
C1CCC2(C1)CCOC2,126.199,3.120982360196197,0.3048,1.7293
OC1CC(CC2CO2)C1,128.171,3.3034022319910683,0.3298,2.7258
CC1C2CCCCOC12,126.199,3.690864918295043,0.3136,1.1252
CCCOCC1(O)CC1,130.18699999999998,2.6005991610717096,0.3246,1.9662
CCCOC1CC1OC,130.18699999999995,3.253156513760473,0.3178,1.293
COC1CCC2OC2C1,128.171,3.55546551001102,0.3311,2.4615
CCC(C)COC(N)=O,131.175,2.7485324159375573,0.323,2.4568
C#CC(C)(C)CO,98.14499999999998,3.544772002813671,0.3063176422079303,1.809547289539961
CC1C2C(C)C1C2CO,126.19899999999998,3.9708708147638183,0.3369,1.2931
CC1CC(CC(N)=O)O1,129.15900000000002,3.314466801385892,0.2676,2.5626
OCC1C(O)C1C1CC1,128.171,3.897622610602737,0.2952,2.4756
COCC1=CCCCC1,126.199,2.4955072971663856,0.2613,1.0354
CC1OCCO1,88.106,3.09711244873865,0.3439,1.0448
CCCN1CC1C1CO1,127.18699999999995,3.764299379833505,0.313,1.4631
COC1CC1C(C)(C)C,128.21499999999995,3.649013958576528,0.3247,1.1523
OCCOC(CO)CO,136.147,2.692693391840942,0.3242,2.4338
OC12CN(C1)C2,85.106,3.9609039339419576,0.3126,1.7613
CC1(C)OCC2CC2O1,128.171,3.858565744529704,0.3231,1.6267
CC1OCC(C)(O)CO1,132.159,3.652554930302479,0.3258,1.9182
COCC(C)C1COC1,130.18699999999998,3.241879155067992,0.3171,2.1433
CC1CCOCC1O,116.15999999999998,3.4877895081785084,0.3242,1.7597
CCCC1CN1CCO,129.20300000000003,3.252192821452782,0.3131,2.1163
C1CC2COC2CO1,114.14399999999999,3.7025685291575288,0.2897822269997618,2.20461743021092
CC#CC(OC)C(C)C,126.19899999999998,3.857705660084715,0.2913378399961023,1.4593530601411149
C1COC(C2CO2)OC1,130.14299999999997,3.383566581103495,0.3244959385772266,2.7393291414926653
C#CCC1(O)COC1,112.12799999999999,3.7462467918533804,0.2918008584783239,0.517938041148369
CC#CC1(NC)COC1,125.17099999999999,3.886635699533249,0.25895495934663976,3.1071556998953342
